id,domain,functionalPurpose,technicalMethod,distributionMedium,discipline,mediaType,contentType,caseTitle,aiSummary
d663878c-a37e-4515-82bb-3be9908c33e6,news.sjtu.edu.cn,记录,拍摄,静图,综合交叉,摄影,团队场景,体育系党委学习会议,一群人围坐在会议室的桌子旁，认真听讲并做笔记，背景屏幕上显示着相关议题。
3bfa7132-3bdd-4bd7-aa57-09811b4661e8,smse.sjtu.edu.cn,记录,拍摄,静图,材料,摄影,群体肖像,六一亲子活动合影,一群大人和儿童在室内合影，背景有六一儿童节装饰，氛围温馨欢乐。
3e7e535e-67b2-44dc-a838-27357fe8a044,bme.sjtu.edu.cn,记录,拍摄,静图,工程,摄影,团队场景,青教赛经验分享会,会议室场景中两位人物就座，桌上有姓名牌、水杯及文具，背景为窗帘和办公椅
ab22c268-d30d-4825-8d95-31b0e59c1cd0,news.sjtu.edu.cn,记录,拍摄,静图,物理,摄影,群体肖像,科研团队合影,五位科研人员站在实验室设备前合影，背景为实验室内部结构。
7fd80dde-c472-47db-9cee-88f20722e12b,news.sjtu.edu.cn,记录,拍摄,静图,综合交叉,摄影,群体肖像,交大接待科技传播学会主席,两位穿着正式的人在会议室前握手，背景是上海交通大学的校徽。
60b4148a-ae0b-4947-be1c-e11595f3181d,me.sjtu.edu.cn,传播,拍摄,静图,材料,信息图,不确定,材料期刊标题页,《Advanced Materials》期刊文章标题页，显示标题、作者及DOI信息。
5f761988-cce7-4120-a1e6-a229b4e990f4,www.seiee.sjtu.edu.cn,记录,拍摄,静图,信息科学,摄影,单人肖像,行政办公室人员肖像,一位穿着深色外套的女性，背景为深色，双手交叠在身前。
8647687c-ca8b-4d0b-ad06-4758b7c5f16c,me.sjtu.edu.cn,传播,绘设,静图,工程,混合媒介,科普传播,学术新声沙龙海报,学术沙龙海报展示两位助理教授报告信息，含人物照片、时间地点及学院标识
c2b0882f-8281-4e48-bde4-109c64e8290d,www.cs.sjtu.edu.cn,解释,数据,静图,信息科学,信息图,数据结果,F5-TTS语音合成模型,展示F5-TTS语音合成模型的研究背景、解决方案及其影响力和应用。
5b69b0d5-f004-444d-85f4-63892a474dca,news.sjtu.edu.cn,记录,拍摄,静图,综合交叉,摄影,单人肖像,政绩观学习活动,一位女性站在投影屏幕前进行演讲，屏幕上显示的是关于政绩观的学习内容。
dffa40dd-da5f-4a17-a4ad-d93f66bbc4e4,smse.sjtu.edu.cn,解释,绘设,图组,材料,信息图,机制模型,剥离原理示意图,三部分示意图展示金属羟基氧化物通过氧化、应力作用和超声处理转化为胶体纳米片的过程。
9707f65f-0ba6-4c1c-a730-c6546d8818ca,imr.sjtu.edu.cn,传播,拍摄,静图,工程,摄影,群体肖像,超级博士后获奖者,展示七位博士后的肖像和姓名，背景为金色渐变，下方标注“2025年上海市‘超级博士后’激励计划获得者”。
5dd0196e-628d-4fb8-8541-50781a7584a1,msv.sjtu.edu.cn,记录,拍摄,静图,工程,摄影,团队场景,思源讲堂第七期,一张室内讲座的照片，显示一位演讲者站在讲台前，面对着坐在桌子旁的听众。
607474c8-fbc7-4225-95d0-651545b17ef6,cs.sjtu.edu.cn,展示,拍摄,静图,信息科学,摄影,单人肖像,计算机学院人员肖像,单人半身职业照，女性穿着浅蓝色条纹衬衫，背景为灰色。
82f980ad-47cd-4a5d-9c9f-6f636608cd54,bme.sjtu.edu.cn,传播,拍摄,静图,医学,摄影,科普传播,早筛项目现场,六人围坐桌旁，医护人员向民众展示医疗设备，场景明亮，似在医疗筛查现场。
ac53d543-ebeb-4c0a-8268-2caafc131869,cs.sjtu.edu.cn,解释,绘设,静图,信息科学,信息图,机制模型,交易平台机制图,图示了买家、卖家和平台之间的交易流程，包括价格和数量的传递以及交易成功的条件。
b5b1915e-6880-4d9a-83df-f249c24b19dc,oce.sjtu.edu.cn,展示,拍摄,静图,工程,摄影,实验设备,深远海养殖网箱,图片显示一艘大型蓝色和黄色的深远海养殖网箱船在海上作业。
979fde58-0bae-4ccd-819a-d2b67b16bd9e,bme.sjtu.edu.cn,记录,拍摄,静图,医学,摄影,实验过程,实验室工作场景,实验室工作人员穿着防护服在操作设备和处理样品。
702d24de-cfd6-469b-99cf-c366065c921a,oce.sjtu.edu.cn,记录,拍摄,静图,工程,摄影,实验设备,船舶实验室设备,实验室中大型橙色和蓝色金属实验设备，含框架、机械部件及管道，背景为工业环境。
93eed691-c0da-401c-aa99-e1e43793b396,www.aero.sjtu.edu.cn,记录,拍摄,静图,工程,摄影,群体肖像,空天师生运动会风采,一群身着白上衣黑裤子的人在红色跑道上奔跑，挥舞蓝白色气球，背景蓝天白云，右下角有运动会标志。
9e767c67-c0e9-4320-9f11-874c9588f77e,sese.sjtu.edu.cn,记录,拍摄,静图,环境科学,摄影,单人肖像,大会发言场景,一位科研人员在第一届可持续发展与资源循环大会讲台上发言，背景为紫色屏幕，显示会议名称及合作机构标识。
ab851afa-28d9-4cbe-a501-337cad4d03d4,msv.sjtu.edu.cn,记录,拍摄,静图,信息科学,摄影,单人肖像,脑机接口学术报告,一位教授站在讲台前进行演讲，背景屏幕上显示关于脑机接口及其医疗应用的研究信息。
013c729c-2d3c-48b4-9b39-24c46aa75e6e,sese.sjtu.edu.cn,记录,拍摄,静图,环境科学,摄影,单人肖像,大会嘉宾致辞,一位戴眼镜的男士在蓝色讲台后发言，背景为紫色屏幕，讲台印有大会名称及机构Logo。
