id,domain,functionalPurpose,technicalMethod,distributionMedium,discipline,mediaType,contentType,caseTitle,aiSummary
9e3aabe0-4ca4-428c-8ad3-6219e491964d,www.bit.edu.cn,解释,绘设,静图,材料,信息图,机制模型,Al2O3应力层制备与调控,图示展示了1T-TaS2薄片上Al2O3应力层的制备过程及其结构模型，包括光刻、光刻胶沉积和Al2O3纳米薄膜的形成。
27ac87ef-ee97-4046-baeb-304135fe8c21,news.pku.edu.cn,解释,绘设,静图,物理,信息图,机制模型,维度交叉普适相图,图示展示了原子量子模拟器的实验装置和维度交叉的普适相图，包括零温和有限温度下的相图。
c6a60107-a4d5-40f7-9e13-b5e5500c7a04,news.hust.edu.cn,记录,拍摄,静图,综合交叉,摄影,团队场景,2026校园春季长跑,一群人在校园里参加长跑活动，前方有持旗者引导，背景是观众和宣传牌。
e8c940be-b15b-4663-85a2-939c45c8fe0c,news.fudan.edu.cn,解释,拍摄,静图,综合交叉,不确定,数据结果,科学制度与政绩观,这是一张报纸页面的照片，显示了一篇关于科学制度塑造正确政绩观的文章。
6bd3fe33-6591-4db0-a427-31204feb9fc2,www.tsinghua.edu.cn,解释,绘设,静图,生命科学,信息图,机制模型,德布尼醇生物合成通路,图示展示了Nicotiana benthamiana中mevalonate途径及其相关酶和代谢产物的生物合成通路。
c140f467-3d11-4a94-b67b-4fbe49a2c071,news.pku.edu.cn,解释,数据,静图,生命科学,数据可视化,数据结果,大脑先验知识与概念学习,图展示了神经贝叶斯模型在不同脑区和语言模型中的预测能力及与人类学习的对比。
e3b50143-7b84-43d7-a344-c1ae57b4ba07,www.bit.edu.cn,解释,绘设,静图,化学,信息图,机制模型,超分子三聚体合成与性质,图中展示了超分子三聚体的合成过程及其光学性质测试结果，包括化学结构、CD光谱和SEM图像。
85f696aa-ac60-4a07-afc3-af070d6f66fe,news.buaa.edu.cn,解释,数据,静图,物理,数据可视化,数据结果,HoAgGe磁性与热力学性质,图中展示了HoAgGe材料在不同温度和磁场条件下的多种物理性质，包括磁化强度、磁化率和磁致伸缩等数据。
bc19f75c-1d4b-491b-9ee4-acab7782bd2a,www.bit.edu.cn,解释,绘设,静图,材料,信息图,机制模型,质子陶瓷电解池电解质研究,图示展示了质子陶瓷电解池电解质的研究策略，包括材料系统、基本机制、成分调节和工艺优化等内容。
dda9ab29-1796-43cd-a295-58741cc058b6,news.pku.edu.cn,记录,拍摄,静图,医学,不确定,数据结果,新型抗瘢痕化合物研究,这是一篇发表在Cell Reports Medicine上的研究论文截图，标题为“Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling”，作者包括Chun-Ye Chen等人。
506805c6-d12a-4d34-bad3-df101616a846,news.pku.edu.cn,解释,绘设,静图,信息科学,信息图,机制模型,OG-MAR框架流程,图示了OG-MAR框架，包括数据预处理、本体构建、区域数据集、人口统计信息检索、价值问题、主题选择代理、个体选择和响应判断等步骤。
1b181c4a-1cf6-4890-ae87-e487f79c2cd1,www.bit.edu.cn,解释,绘设,图组,物理,信息图,机制模型,狄拉克体系朗道能级机制,图示第一类和第二类狄拉克体系在磁场/电场下的能带交截、动量投影及粒子轨迹，解释朗道能级形成机制。
b28c7d34-b86e-4c4b-9412-dcbe52627de2,automation.seu.edu.cn,记录,拍摄,静图,信息科学,摄影,团队场景,智能机器人研讨会,一位教授正在演讲，背景屏幕上显示关于机器人抓取问题的幻灯片，观众坐在前排认真听讲。
7492a56b-47dc-49b2-a37f-0347b1f64c2e,news.ustc.edu.cn,解释,绘设,静图,化学,信息图,机制模型,甘油转化制糖新方法,图示了传统热催化、光电催化和串联催化在甘油转化制糖过程中的不同路径和特点。
8570e6bb-5a6d-40e8-8141-1b54f2ae1c6b,www.cas.cn,解释,数据,静图,物理,数据可视化,数据结果,玻璃材料的焓弛豫过程,图中展示了不同玻璃材料在不同退火条件下的热流变化和焓弛豫过程，包括温度随时间的变化曲线和焓变随时间的变化曲线。
e1671e1e-2735-41a1-80e5-bcd4c9efc88d,www.news.zju.edu.cn,记录,拍摄,静图,生命科学,摄影,团队场景,浙大团队研究大脑节能机制,两位穿着实验室白大褂的科研人员正在操作一台显微镜设备。
c87bd2d2-905d-4872-8aa0-4af2163f5fc9,news.hit.edu.cn,解释,绘设,静图,医学,信息图,机制模型,特洛伊纳米机器人治疗胶质瘤,图示展示了特洛伊纳米机器人（Trojanbot）如何通过中性粒细胞机器人（Neutrobot）穿越血脑屏障并靶向胶质瘤病灶。
32ba85ad-65c4-4dc8-831b-5edaa83ab46e,www.cas.cn,解释,数据,静图,生命科学,数据可视化,数据结果,雌雄异株植物物候响应,图中展示了雌雄异株植物在不同处理条件下的开花和展叶时间对比，包括对照组、增温处理和光周期处理。
110e7d74-6318-40fd-9f3e-2f9f3385e2cf,www.cas.cn,解释,绘设,静图,生命科学,信息图,机制模型,氮沉降与根系分泌物,图示长期氮沉降对热带森林根系分泌物及土壤磷循环的影响机制，包括根际和非根际土壤成分变化。
439b748a-bdeb-4abf-992a-18558876f4d9,news.xjtu.edu.cn,记录,拍摄,静图,材料,摄影,团队场景,电镜研讨会现场,大型会议现场，众多参会者坐在礼堂中，前排有几位重要人物，背景悬挂会议横幅和西安交通大学校徽
6734ddef-e765-41a5-bccb-05ae194a28c9,news.xjtu.edu.cn,传播,拍摄,图组,综合交叉,摄影,团队场景,民族团结种植活动,四宫格照片展示师生户外劳作种植场景，含松土、栽种及手持党旗与院旗合影画面。
1c3b9699-46f9-4cb6-a4d5-af9688eb794c,news.hust.edu.cn,记录,拍摄,静图,综合交叉,摄影,团队场景,科研工作专场主题活动,会议室里多人围坐开会，前方有投影屏幕显示活动主题。
8519adde-73b3-487c-8591-10741db80d7d,www.tsinghua.edu.cn,记录,成像,静图,物理,显微图,微观样本,离子液体推进剂实验,这张图显示了离子液体推进剂在微重力环境下的催化点火过程，通过显微成像捕捉了气-液-固多相反应的动态演化。
0f7775b4-d25f-4f8c-9f5c-7ba7a7f99e2d,www.tsinghua.edu.cn,解释,数据,静图,物理,数据可视化,数据结果,颗粒流尺度效应研究,该图展示了不同条件下颗粒流的滑动体积、落高和长宽比的关系，以及不同表面粗糙度对颗粒流的影响。
adb6c040-e0d9-4fba-9429-cc1aea4236ac,www.cas.cn,记录,拍摄,静图,化学,摄影,实验设备,生物基FDCA中试装置,图片展示了大连化物所开发的生物基呋喃二甲酸技术中试装置，包含多层钢结构框架、管道及反应器等化工设备。
6dd8aed5-e7e0-4388-a069-2d7c5d6955eb,news.pku.edu.cn,解释,拍摄,静图,医学,不确定,数据结果,糖尿病联合用药研究,这是一篇关于多格列艾汀与恩格列净在2型糖尿病和肥胖患者中联合用药的药代动力学和药效动力学研究的论文截图。
3564e58b-e68e-4cfe-9062-a8fbcd9c9205,news.pku.edu.cn,解释,数据,静图,环境科学,数据可视化,数据结果,多环芳烃氧化产物毒性分析,四幅图表展示了不同条件下多环芳烃的大气氧化产物的致癌性、呼吸毒性、皮肤刺激性和 Ames 毒性。
ba3c76b1-dc3f-4264-a58b-e78d701164ed,www.news.zju.edu.cn,解释,绘设,静图,医学,信息图,数据结果,PGT-A vs No PGT-A研究,这张图展示了PGT-A与无PGT-A在严重男性不育症中的对比研究结果，包括研究设计、人口特征、比较方法和结果。
1fcfc645-8374-441d-b327-ea6b90400bfc,news.pku.edu.cn,记录,拍摄,静图,信息科学,不确定,数据结果,柔性射频碳纳米管晶体管研究,这是一篇关于柔性射频碳纳米管晶体管的研究论文封面，展示了作者名单和出版信息。
91097ab1-a208-455d-a651-fd66a8da773f,news.hit.edu.cn,记录,拍摄,静图,工程,摄影,实验设备,厘米级压电机器人,图中展示了一个厘米级压电机器人，具有三足结构，用于实现平面全向运动。
d9e12660-4b54-47cf-9403-5bb33a7a1ab1,news.fudan.edu.cn,记录,拍摄,静图,信息科学,摄影,群体肖像,AI全球治理论坛,图片展示了多位演讲者在论坛上的发言场景，背景有屏幕显示相关信息。
