id,domain,functionalPurpose,technicalMethod,distributionMedium,discipline,mediaType,contentType,caseTitle,aiSummary
8dcda0d2-6c7c-467a-b465-681c18b9fa05,www.siemens-healthineers.com,传播,数据,静图,医学,信息图,数据结果,2030医护缺口数据,黑色背景上用橙色和白色文字突出显示“2030年前全球将短缺1500万卫生工作者”的关键数据。
e789ca69-0c8b-4ccf-a388-fd30cb5e6804,www.siemens-healthineers.com,展示,拍摄,静图,医学,摄影,实验设备,AI超声设备操作,手指轻触超声设备控制面板上的“Measure”按钮，展示AI辅助测量功能。
39b764b3-6680-4452-843a-46084fabb3ff,www.siemens-healthineers.com,展示,成像,静图,医学,信息图,数据结果,超声诊断图像展示,展示ACUSON Sequoia超声系统生成的多区域临床诊断图像，含甲状腺、腹部、新生儿头部等，附带量化参数。
3fbb3957-9e58-4ac1-b334-105c19e8753a,www.nvidia.com,展示,渲染,静图,工程,3D渲染,实验设备,机器人模拟展示,展示NVIDIA机器人模拟软件在仓库环境中对多台AI机器人进行路径规划和避障的3D渲染场景。
96ef14f2-5363-4593-b8df-7e5d8394cb14,www.zeiss.com,解释,成像,静图,物理,摄影,空间环境,仙女座星系之美,这张图展示了仙女座星系的壮观景象，星系在黑暗的太空中显得格外明亮。
6ccbbc5a-c9f4-4ee7-9ea7-0d3368657e27,azure.microsoft.com,传播,渲染,静图,信息科学,信息图,机制模型,Azure HorizonDB抽象图,抽象几何体渐变色彩，呈现科技感与未来感，用于Azure HorizonDB产品视觉传达。
34de35ef-29d6-489f-81a9-b4658c282e41,www.nvidia.com,展示,拍摄,静图,信息科学,摄影,实验设备,Trillion Labs数据中心,展示Trillion Labs的AI数据中心机房，多排黑色服务器机柜整齐排列，顶部布满线缆，体现其大规模计算能力。
7049e988-2f1d-4b7c-9394-fcdf84fb3de1,www.bostonscientific.com,展示,绘设,静图,医学,信息图,不确定,波士顿科学标志,深蓝色背景上的Boston Scientific企业标志及标语
368442bf-7df3-4a07-be61-b61728c247b5,www.siemens-healthineers.com,传播,拍摄,静图,医学,摄影,团队场景,介入手术室场景,两名医护人员在介入手术室中操作电脑，监控心电图与血管造影影像，展示医疗设备的临床应用。
6e38c2dd-97ba-4458-af96-4bd2ff3993ff,www.siemens-healthineers.com,数据,成像,静图,医学,不确定,数据结果,胰腺癌CT诊断图,两张腹部CT影像对比图，箭头标示胰腺癌转移至腹腔神经丛，用于医学诊断分析。
4762e902-a814-4b3e-a686-7ce00a31bdf9,bostondynamics.com,展示,拍摄,静图,信息科学,摄影,实验设备,Spot机器人下楼梯,黄色四足机器人在蓝色工业楼梯上行走的实拍照片，展示其敏捷运动能力。
c4246c56-e067-4df4-ada6-8f505f9b0f11,www.nvidia.com,展示,渲染,静图,信息科学,3D渲染,实验设备,机器人学习展示图,展示多个机器人在模拟工厂环境中协作的3D渲染图，突出AI驱动的机器人学习能力。
83d56b60-2c3d-4aa7-97d8-6420c262289b,www.siemens-healthineers.com,展示,拍摄,静图,医学,摄影,实验设备,超声设备展示,展示西门子ACUSON Sequoia超声系统，屏幕显示肾脏超声图像，突出其AI辅助诊断功能。
177ba96f-fe48-47bc-b810-0bb8de7b4e5b,www.siemens-healthineers.com,传播,绘设,静图,医学,信息图,机制模型,医疗科技合作图示,抽象的同心圆弧构成的图形，以橙色和深色为主，象征医疗科技合作的连接与协同。
bde6d2f5-2bfe-46af-b87c-68efa9db1b89,news.bostonscientific.com,解释,渲染,静图,医学,3D渲染,微观样本,动脉粥样硬化示意图,显示动脉内部，红色血细胞在狭窄的血管中流动，血管壁上有黄色斑块。
64a892cb-962e-437f-bb77-b541e932b125,www.airbus.com,展示,拍摄,静图,工程,摄影,实验设备,未来飞机引擎特写,特写拍摄的飞机发动机风扇叶片，展现其流线型金属结构与精密工程设计。
98ebe799-a802-4871-a698-f6993c040b74,azure.microsoft.com,传播,绘设,静图,信息科学,信息图,科普传播,微软Fabric新功能,黑色背景上白色文字介绍微软Fabric和数据库新功能，右侧是彩色抽象数据块图形。
31dff223-d94e-4735-bc6c-c14ef9c0155d,www.airbus.com,记录,拍摄,静图,工程,摄影,实验设备,Airbus机器人安装座椅,一架黄色的Airbus CabinMarker机器人在飞机客舱内沿轨道移动，背景是待安装的座椅。
c506ac12-09dd-4d4d-9ff5-963f90240076,azure.microsoft.com,传播,拍摄,静图,信息科学,摄影,团队场景,开发者协作场景,一群开发者围坐在木桌旁，使用笔记本电脑协作讨论，氛围积极互动。
1697b6d2-1e50-43a3-96af-3fefa62efa2f,www.airbus.com,记录,拍摄,静图,工程,摄影,实验设备,A350-1000ULR首飞,一架涂装独特的空客A350-1000ULR客机在跑道上静止，机身印有项目标语，背景为阴天机场。
50f58c6b-5a76-444f-8fb1-1453fda3ac88,www.airbus.com,记录,拍摄,静图,工程,摄影,实验设备,Racer高速飞行测试,一架高速直升机在阳光下的海面上飞行，螺旋桨高速旋转，展示其敏捷性能。
5c132d89-14f0-4809-a234-b0cf73857259,www.zeiss.com,展示,拍摄,静图,工程,摄影,实验设备,蔡司光刻机精密光学系统,蔡司半导体光刻机光学系统局部特写，展示精密机械结构与蓝色定位框，背景明亮洁净。
7316983b-d106-4f49-89b1-733aec1c5d81,www.microsoft.com,解释,绘设,静图,信息科学,手绘图,机制模型,AI数据分析模型,抽象背景中有彩色六边形和几何图案，象征数据和连接。
0ee36a3e-f8cc-41f7-8402-62615e305ad8,developer.nvidia.com,展示,渲染,静图,信息科学,3D渲染,实验设备,NVIDIA服务器集群,黑色背景下排列的多台服务器机柜，内部发出暖黄色光芒，地面有镜面反射效果。
b697c934-b985-44ce-b3df-84f6708eb55c,www.siemens-energy.com,展示,拍摄,静图,工程,摄影,实验设备,西门子能源电力变压器,图中展示了一台大型电力变压器，位于工业厂房内，标有“SIEMENS ENERGY”标志。
517a8be1-f1d9-4cf6-8f24-256f1409f444,bostondynamics.com,展示,拍摄,静图,工程,摄影,实验设备,Stretch机器人部署,Boston Dynamics Stretch机器人在Hermes物流仓库内作业，展示其在自动化物流中的应用。
22cee4ab-42cf-4094-ab56-53e2b81efce5,www.siemens-healthineers.com,解释,成像,静图,医学,数据可视化,机制模型,颈椎骨折可视化,并列展示颈椎骨折的CT影像与3D重建模型，用于解释损伤机制。
28e88b05-5bcb-42ac-8428-90c928fb25ff,developer.nvidia.com,解释,拍摄,静图,信息科学,摄影,实验过程,仓库安全数据模拟,仓库内，三个人站在一堆箱子旁，其中一个箱子发生小爆炸并冒烟。
1def80fc-821e-4063-9e59-1b8cd40ceaad,azure.microsoft.com,传播,数据,静图,信息科学,信息图,数据结果,AKS Automatic上线公告,一张宣布AKS Automatic正式上线的科技产品公告图，背景为蓝紫色渐变，配有图标和文字。
41ce7e77-07b8-466a-b6fd-2e9c17b1d505,www.bostonscientific.com,解释,数据,静图,医学,信息图,机制模型,Illumina 3D技术界面,显示了Illumina 3D技术的临床效果映射和编程界面，包含3D视图和参数设置。
b200048d-8598-4cf4-bb48-dfe186bf8650,www.siemens-energy.com,记录,拍摄,静图,工程,摄影,实验过程,高压设备维护,一名穿着防护服和安全帽的工人正在检查和维护高压开关设备。
