id,domain,functionalPurpose,technicalMethod,distributionMedium,discipline,mediaType,contentType,caseTitle,aiSummary
abcc10b4-6528-47f3-be03-08d9d96e6771,www.nature.com,传播,绘设,静图,物理,手绘图,空间环境,NASA探日任务,这是一张《自然》杂志封面图，展示了一艘航天器在太阳前的艺术家想象图。
b33f4d2c-e18a-4b42-8a80-d51adbaedda4,www.nature.com,传播,拍摄,静图,环境科学,摄影,空间环境,高山植物与气候变化,图片显示了阿尔卑斯山脉的岩石缝隙中生长的粉色高山花卉，背景是雪山。
9f11f44e-2f24-4d68-ab88-917310b18562,www.nature.com,传播,绘设,静图,信息科学,信息图,科普传播,光子雷达芯片,封面展示了光子雷达芯片在汽车上的应用，显示距离和速度信息。
d25e6c48-416c-4346-86af-24cc323ebcc1,www.nature.com,传播,绘设,静图,生命科学,手绘图,科普传播,Nature期刊封面,蓝色背景上散布着黑色树枝状图案，中央有“SWITCHING CHANNELS”字样，下方有相关文字说明。
7702a10e-d999-4a6a-83ea-06407756f14a,www.nature.com,传播,成像,静图,生命科学,显微图,微观样本,ETV6在尤因肉瘤中的作用,显微镜下的细胞图像，中心是一个发光的细胞核，周围有复杂的纤维结构。
ad46d3d2-25ee-4da7-8558-92bea573fe8d,www.nature.com,传播,成像,静图,生命科学,信息图,微观样本,神经元网络可视化,这是一张色彩鲜艳的神经元网络图像，展示了EM-based connectomics技术下的复杂神经连接。
f26128b4-8d78-4b02-a515-9c43e8deb243,www.nature.com,传播,成像,静图,生命科学,显微图,微观样本,干细胞免疫耐受,显微镜下的细胞图像，显示免疫耐受在干细胞中的表现，色彩鲜艳。
c8cb6576-e4d2-43ba-ad36-f7bcc69a720b,www.nature.com,传播,成像,静图,材料,显微图,微观样本,纳米碳晶格结构,这张图展示了纳米级管中管碳晶格的微观结构，色彩鲜艳，层次分明。
4e3d2cb6-b0dc-41e2-9749-af0a47c4c248,www.nature.com,传播,成像,静图,材料,信息图,微观样本,DNA纳米技术,蓝色背景上橙色线条构成的DNA纤维图案，展示DNA在纳米尺度上的排列。
c2a2fe67-04f1-4122-a3d6-09159fa76ac3,www.nature.com,传播,渲染,静图,材料,3D渲染,机制模型,电荷有序的滑移,封面展示了色彩斑斓的3D渲染图像，表现了材料的微观结构和电荷有序状态。
